Question;Answer
James_Monroe. Did Monroe' wedding happen at the Trinity Church in New York?;Yes
James_Monroe. Did Monroe' wedding happen at the Trinity Church in New York?;Yes
James_Monroe. What is Monroe Doctrine?;A doctrine declaring U.S. opposition to European interference in the Americas.
James_Monroe. What is Monroe Doctrine?;In it, Monroe proclaimed the Americas should be free from future European colonization and free from European interference in sovereign countries' affairs. It further stated the United States' intention to stay neutral in European wars and wars between European powers and their colonies, but to consider any new colonies or interference with independent countries in the Americas as hostile acts toward the United States. 
James_Monroe. Was James Monroe President of the United States?;yes
James_Monroe. Was James Monroe President of the United States?;Yes
James_Monroe. Did James Monroe attend the College of William and Mary?;yes
James_Monroe. Did James Monroe attend the College of William and Mary?;Yes
James_Monroe. Did James Monroe fight in the Continental Army?;yes
James_Monroe. Did James Monroe fight in the Continental Army?;Yes
James_Monroe. Where was James Monroe born?;Westmoreland County, Virginia
James_Monroe. Where was James Monroe born?;Westmoreland County, Virginia
James_Monroe. Where was James Monroe shot?;at the Battle of Trenton, in his left shoulder
James_Monroe. Where was James Monroe shot?;The Battle of Trenton
James_Monroe. Who did James Monroe marry?;Elizabeth Kortright
James_Monroe. Who did James Monroe marry?;Elizabeth Kortright
James_Monroe. What did James Monroe do before being elected governor?;He practiced law in Virginia.
James_Monroe. What did James Monroe do before being elected governor?;He practiced law
James_Monroe. In which years were John Monroe elected as President?;1817-1825
James_Monroe. In which years were John Monroe elected as President?;1817-1825
James_Monroe. Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?;George Washington
James_Monroe. Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?;George Washington
James_Monroe. When was James Monroe appointed to Secretary of War?;1814
James_Monroe. When was James Monroe appointed to Secretary of War?;NULL
James_Monroe. When did James Monroe die?;July 4, 1831
James_Monroe. When did James Monroe die?;NULL
James_Monroe. When did James Monroe graduate from William and Mary?;1776
James_Monroe. When did James Monroe graduate from William and Mary?;NULL
James_Monroe. When was James Monroe elected president?;Monroe was elected president in the election of 1816, and re-elected in 1820.
James_Monroe. When was James Monroe elected president?;NULL
James_Monroe. Which property did James Monroe sell in 1817?;Monroe Hill on the grounds of the University of Virginia.
James_Monroe. Which property did James Monroe sell in 1817?;NULL
James_Monroe. When did James Monroe introduce the Monroe Doctrine?;December 2, 1823
James_Monroe. When did James Monroe introduce the Monroe Doctrine?;NULL
James_Monroe. Who did James Monroe live with in New York City?;His daughter Maria Hester Monroe Gouverneur
James_Monroe. Who did James Monroe live with in New York City?;NULL
James_Monroe. What did James Monroe's letters not contain?;No letters survive in which he might have discussed his religious beliefs.
James_Monroe. What did James Monroe's letters not contain?;NULL
James_Monroe. What was the result of the rejection of the Jay Treaty?;As a result, the two nations moved closer toward the War of 1812. 
James_Monroe. What was the result of the rejection of the Jay Treaty?;NULL
James_Monroe. Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?;Monroe
James_Monroe. What dwindled and eventually died out, starting with the Hartford Convention?;The Federalist Party
James_Monroe. Is it true that he practiced law in fredericksburg?;yes
James_Monroe. What did James Monroe make in 1817?;two long tours
James_Monroe. Was Monroe anticlerical?;no
James_Monroe. Was Monroe appointed Minister to France from 1794 to 1796?;yes
James_Monroe. What expired on March?;Monroe's presidency
James_Monroe. Had Monroe racked up many debts during his years of public life ?;yes
James_Monroe. Who dismantled partisan and sectional coalitions ?;many congressmen
James_Monroe. Had Monroe racked up many debts during his years of public life ?;yes
James_Monroe. What happened in 1811?;Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
James_Monroe. What happened in the election of 1816?;Monroe was elected president
James_Watt. Who died in childbirth in 1772?;Margaret Miller
James_Watt. Who died in 1832?;Margaret Miller.
James_Watt. Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?;Yes.
James_Watt. Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?;Yes.
James_Watt. Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?;Yes.
James_Watt. Four years after opening his shop , Watt began what?;Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it.
James_Watt. Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?;Yes.
John_Adams. Did John Adams represent the Continental Congress in Europe?;Yes.
John_Adams. Did John Adams represent the Continental Congress in Europe?;yes
John_Adams. Was Adams raised Congregationalist?;Yes.
John_Adams. Was Adams raised Congregationalist?;yes
John_Adams. Was Adams an opponent of the Stamp Act?;Yes.
John_Adams. Was Adams an opponent of the Stamp Act?;yes
John_Adams. When did Adams graduate from college?;1755.
John_Adams. When did Adams graduate from college?;1755
John_Adams. Who was on the committee with Adams to draft  a Declaration of Independence?;Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.
John_Adams. Who was on the committee with Adams to draft  a Declaration of Independence?;Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman
John_Adams. What did Jefferson call John Adams?;"The ""Colossus of Independence""."
John_Adams. What did Jefferson call John Adams?;Colossus of Independence
John_Adams. What was Adams' political party?;The Federalist Party.
John_Adams. What was Adams' political party?;Federalist
John_Adams. Was Adams the first to introduce a bicameral legislature?;Yes.
John_Adams. Was Adams the first to introduce a bicameral legislature?;yes
John_Adams. Did John Adams get along with Alexander Hamilton?;No.
John_Adams. Did John Adams get along with Alexander Hamilton?;no
John_Adams. Did John Adams go to Harvard? ;yes
John_Adams. Did John Adams go to Harvard? ;Yes
John_Adams. Did John Adams support the Stamp Act of 1765?;No
John_Adams. Did John Adams support the Stamp Act of 1765?;No
John_Adams. Is Adams' birthplace part of a national park?;yes
John_Adams. Is Adams' birthplace part of a national park?;Yes
John_Adams. When did John Adams serve as Vice President?;1789-1797
John_Adams. When did John Adams serve as Vice President?;1789-1797
John_Adams. With what party did Adams run for presidency?;The Federalist Party
John_Adams. With what party did Adams run for presidency?;The Federalist Party
John_Adams. Where is Adams buried?;United First Parish Church
John_Adams. Where is Adams buried?;United First Parish Church
John_Adams. Who were the midnight judges?;They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired
John_Adams. Who were the midnight judges?;They were judges formally appointed days before Adams term expired
John_Adams. In what ways was Adams opposed by Anderw Hamilton?;Hamilton wanted to control the army differently than Adams
John_Adams. What information did he record in his diary?;Descriptions of events and ompressions of men
John_Adams. What information did he record in his diary?;He wrote descriptions of events and impressions of men
John_Adams. Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?;John Adams
John_Adams. Who represented the Continental Congress in Europe?;John Adams
John_Adams. What is now part of Adams National Historical Park?;John Adams' birthplace
John_Adams. Is it true that adams had spent some time as the ambassador?;yes
John_Adams. Is it true that massachusetts sent him in 1774?;yes
John_Adams. Who did Massachusetts send in 1774?;John Adams
"John_Adams. Are his last words often quoted as "" Thomas Jefferson survives "" . ?";yes
John_Adams. The John Adams Library , housed at the Boston Public Library , contains what?;Adams's personal collection of more than 3,500 volumes
John_Adams. Adams ' opponents were what?;Democratic Republicans
John_Adams. Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?;No.
John_Adams. What happened in 1764?;Adams married Abigail Smith
kangaroo. Is a kangaroo a reptile?;no
kangaroo. Is a kangaroo a reptile?;No
kangaroo. Is a kangaroo on the Australian coat of arms?;yes
kangaroo. Is a kangaroo on the Australian coat of arms?;Yes
"kangaroo. Was James Cook the first to record the name ""Kangooroo?""";yes
"kangaroo. Was James Cook the first to record the name ""Kangooroo?""";Yes
kangaroo. What is a collective noun for kangaroos?;mob, troop, or court
kangaroo. What is a collective noun for kangaroos?;Mob, troop, or court
kangaroo. Where do joeys complete postnatal development?;marsupium
kangaroo. Where do joeys complete postnatal development?;A pouch called a marsupium
"kangaroo. What do kangaroos use for ""crawl-walking?""";its hind feet
"kangaroo. What do kangaroos use for ""crawl-walking?""";Their hind feet and their tails
kangaroo. Why do kangaroos have a wide bite?;The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
kangaroo. Why do kangaroos have a wide bite?;Because of grazing
kangaroo. What is responsible for converting the hydrogen byproduct of fermentation into acetate?;bacteria
kangaroo. What is responsible for converting the hydrogen byproduct of fermentation into acetate?;The digestive system of a kangaroo
kangaroo. Are wild kangaroos shot for meat?;yes
kangaroo. Are wild kangaroos shot for meat?;Yes
kangaroo. Have kangaroos fared well since European settlement?;yes
kangaroo. Have kangaroos fared well since European settlement?;Yes
kangaroo. Do kangaroos have many natural predators?;no
kangaroo. Do kangaroos have many natural predators?;No
kangaroo. What is the average life expectancy of a kangaroo?;4.6 years
kangaroo. What is the average life expectancy of a kangaroo?;about 4.6 years
kangaroo. When did the first official report of kangaroo blindness take place?;1994
kangaroo. When did the first official report of kangaroo blindness take place?;1994
kangaroo. What are vehicles that frequent isolated roads often fitted with?;roo bars
kangaroo. What are vehicles that frequent isolated roads often fitted with?;roo bars
kangaroo. Do kangaroos eat plants?;yes
kangaroo. Do kangaroos eat plants?;Yes
kangaroo. What are some extinct predators of the kangaroo?;Thylacine, Marsupial Lion, Maagalania, and Wonambi
kangaroo. What are some extinct predators of the kangaroo?;The Thylacine
kangaroo. Is a Kangaroo a Marsupial?;NULL
kangaroo. Is a Kangaroo a Marsupial?;Yes
kangaroo. Is the kangaroo an herbivour?;NULL
kangaroo. Is the kangaroo an herbivour?;Yes
kangaroo. Are Kangaroos Shy?;NULL
kangaroo. Are Kangaroos Shy?;Yes
kangaroo. What method of locomotion do Kangaroos Use?;NULL
kangaroo. What method of locomotion do Kangaroos Use?;hopping
kangaroo. What is the average life expectancy of a kangaroo?;NULL
kangaroo. What is the average life expectancy of a kangaroo?;4 to 6 years
kangaroo. What is a collective noun for a kangaroo?;NULL
kangaroo. What is a collective noun for a kangaroo?;a mob, troop, or court
kangaroo. What is a roo?;NULL
kangaroo. What is a roo?;a kangaroo
kangaroo. What is used to protect a vehicale from a Kangaroo?;NULL
kangaroo. What is used to protect a vehicale from a Kangaroo?;roo bars
kangaroo. What method is used by Kangaroos to travel?;NULL
kangaroo. What method is used by Kangaroos to travel?;hopping
kangaroo. Who asked a nearby local what the creatures were called?;Captain James Cook and naturalist Sir Joseph Banks
kangaroo. What are four species that are commonly referred to as kangaroos?;The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo
kangaroo. Are kangaroos and wallabies adept swimmers?;yes
kangaroo. Are kangaroos farmed to any extent?;No.
kangaroo. Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?;Veterinarians
kangaroo. Different species of kangaroos eat what?;different diets
kangaroo. Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?;yes
kangaroo. Is a collision with a vehicle capable of killing a kangaroo ?;yes
kangaroo. Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?;yes
kangaroo. Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?;yes
kangaroo. Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?;yes
kangaroo. What kinds of changes have larger kangaroos adapted much better to?;Changes wrought to the Australian landscape by humans.
kangaroo. Have larger kangaroos adapted much better to changes?;yes
leopard. Is the leopard smaller than the other members of Panthera?;yes
leopard. Is the leopard smaller than the other members of Panthera?;Yes
leopard. Is a leopard larger and less lanky than a cheetah?;yes
leopard. Is a leopard larger and less lanky than a cheetah?;Yes
leopard. Are large pythons potential prey for leopards?;yes
leopard. Are large pythons potential prey for leopards?;Yes
leopard. What may a leopard be mistaken for?;A cheetah or a jaguar
leopard. What may a leopard be mistaken for?;A cheetah or a jaguar
leopard. What is a hybrid animal resulting from a union between a leopard and a puma?;a pumapard
leopard. What is a hybrid animal resulting from a union between a leopard and a puma?;A pumapard
leopard. Where do leopards often hide their kills?;in dense vegetation
leopard. Where do leopards often hide their kills?;in dense vegetation or in trees
leopard. How did early naturalists distinguish between leopards and panthers?;by the length of their tails
leopard. How did early naturalists distinguish between leopards and panthers?;By the length of the tail, panthers having longer tails than leopards
leopard. What are dark leopards known as colloquially?;Black Panthers
leopard. What are dark leopards known as colloquially?;black panthers
leopard. What shape are a leopard's black rosettes in East Africa?;circular
leopard. What shape are a leopard's black rosettes in East Africa?;circular
leopard. Is the leopard an Old World mammal?;yes
leopard. Is the leopard an Old World mammal?;yes
leopard. Is the leopard an Old World mammal?;.
leopard. Is the leopard of the Felidae family?;yes
leopard. Is the leopard of the Felidae family?;yes
leopard. Is the leopard of the Felidae family?;NULL
leopard. Is the leopard one of the four 'big cats'?;yes
leopard. Is the leopard one of the four 'big cats'?;yes
leopard. Is the leopard one of the four 'big cats'?;NULL
leopard. Where is the leopard distributed?;southern Eurasia and Africa
leopard. Where is the leopard distributed?;southern Eurasia and Africa, from Korea to South Africa and Spain
leopard. Where is the leopard distributed?;NULL
leopard. How long is a leopard's tail?;60 to 110cm
leopard. How long is a leopard's tail?;60-110cm
leopard. How long is a leopard's tail?;NULL
leopard. How much does a leopard weigh?;Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. 
leopard. How much does a leopard weigh?;(because of ambiguity) - 28-90kg 
leopard. How much does a leopard weigh?;NULL
leopard. Does a male leopard weigh more than a female leopard?;yes
leopard. Does a male leopard weigh more than a female leopard?;yes
leopard. Does a male leopard weigh more than a female leopard?;NULL
leopard. What is the difference between leopards and cheetahs?;The leopard has rosettes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
leopard. What is the difference between leopards and cheetahs?;The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar.
leopard. What is the difference between leopards and cheetahs?;NULL
leopard. How does the distribution size of the leopard compare to the distribution of other wild cats?;As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.
leopard. How does the distribution size of the leopard compare to the distribution of other wild cats?;the leopard had the largest distribution of any wild cat.
leopard. How does the distribution size of the leopard compare to the distribution of other wild cats?;NULL
leopard. What resembles that of the similarly-sized cougar in the Americas?;The leopard's ecological role
leopard. What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?;Felis pardus
leopard. What sort of cats are solitary?;Leopards
leopard. Are leopards circular?;No
leopard. Is the leopard solitary?;Yes
leopard. What centred in Sierra?;The leopard men
leopard. Felis pardus was what?;One of the many species described in Linnaeus's 18th-century work, Systema Naturae
leopard. Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?;Yes
leopard. Were the Leopard men a West African secret society who practised cannibalism ?;Yes
leopard. Was the leopard tank a German designed tank which entered service in 1965 ?;Yes
leopard. Is the black color heritable and caused by only one recessive gene locus ?;Yes
leopard. Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?;Yes
leopard. Can a panther be any of several species of large felid?;Yes
leopard. Is the leopard an agile and graceful predator?;Yes
Liechtenstein. Is Liechtenstein bordered by Switzerland?;Yes
Liechtenstein. Is Liechtenstein bordered by Switzerland?;Yes
Liechtenstein. Is Liechtenstein the smallest German-speaking country in the world?;Yes
Liechtenstein. Is Liechtenstein the smallest German-speaking country in the world?;Yes
Liechtenstein. Was Liechtenstein part of the ancient Roman province of Raetia?;Yes
Liechtenstein. Was Liechtenstein part of the ancient Roman province of Raetia?;Yes
Liechtenstein. When was the first factory opened?;1836
Liechtenstein. When was the first factory opened?;1836
Liechtenstein. How many municipalities is Liechtenstein divided into?;11
Liechtenstein. How many municipalities is Liechtenstein divided into?;11
Liechtenstein. What is the national currency of Liechtenstein?;Swiss franc
Liechtenstein. What is the national currency of Liechtenstein?;Swiss franc
Liechtenstein. Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?;Yes
Liechtenstein. What company administers Leichtenstein's railways?;Austrian Federal Railways
Liechtenstein. What company administers Leichtenstein's railways?;Austrian Federal Railways
Liechtenstein. What percentage of Liechtenstein's population is foreign-born?;two-thirds
Liechtenstein. What percentage of Liechtenstein's population is foreign-born?;67%
Liechtenstein. Is there an airport in Liechtenstein?;No.
Liechtenstein. Is there an airport in Liechtenstein?;No
Liechtenstein. Is Liechtenstein heavily urbanized?;No.
Liechtenstein. Is Liechtenstein heavily urbanized?;No
Liechtenstein. Is Liechtenstein doubly landlocked?;Yes.
Liechtenstein. Is Liechtenstein doubly landlocked?;Yes
Liechtenstein. Does Liechtenstein have an army?;No.
Liechtenstein. Does Liechtenstein have an army?;No
Liechtenstein. When was Liechtenstein's current constitution adopted?;October 1921.
Liechtenstein. When was Liechtenstein's current constitution adopted?;October 1921
Liechtenstein. What is the official language of Liechtenstein?;German.
Liechtenstein. What is the official language of Liechtenstein?;German
Liechtenstein. What countries border Liechtenstein?;Switzerland and Austria.
Liechtenstein. What countries border Liechtenstein?;Switzerland and Austria
Liechtenstein. What Roman province was Liechtenstein part of?;Raetia.
Liechtenstein. What Roman province was Liechtenstein part of?;Raetia
Liechtenstein. How many municipalities are within Oberland?;6.
Liechtenstein. How many municipalities are within Oberland?;6
Liechtenstein. What is the smallest German-speaking country in the world?;Liechtenstein
Liechtenstein. The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?;1861
Liechtenstein. What enjoys one of the world's highest standards of living?;Liechtenstein's population
Liechtenstein. Does the state court rule on the conformity of laws?;Yes
Liechtenstein. What do most recognizable international company and largest employer have in common?;They are Hilti.
Liechtenstein. Is Liechtenstein heavily urbanized?;No
Liechtenstein. Was Liechtenstein completed in November 2000?;No
Liechtenstein. What completed in November?;the Kunstmuseum Liechtenstein
Liechtenstein. The State Court rules what?;on the conformity of laws with the constitution
Liechtenstein. The Historical Society of the Principality of Liechtenstein plays what?;a role in preserving the culture and history of the country.
Liechtenstein. Is the museum collection also the national art collection of Liechtenstein ?;Yes
Liechtenstein. Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?;Yes
Liechtenstein. Are nationals referred to by the plural : Liechtensteiners ?;Yes
Liechtenstein. Is it a winter sports resort , although it is perhaps best known as a tax haven ?;Yes
Liechtenstein. Is it a winter sports resort?;Yes
Liechtenstein. Is it the smallest german-speaking country in the world?;Yes
Liechtenstein. What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?;The Liechtenstein Dynasty acquired vast swaths of land
"Millard_Fillmore. Did Webster write, ""I can now sleep of nights""?";Yes.
"Millard_Fillmore. Did Webster write, ""I can now sleep of nights""?";Yes
Millard_Fillmore. Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?;Yes
Millard_Fillmore. Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?;Yes
Millard_Fillmore. Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?;Yes
Millard_Fillmore. Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?;yes
Millard_Fillmore. Who got Seward elected to the senate?;Weed
Millard_Fillmore. Who got Seward elected to the senate?;Weed ultimately got Seward elected to the senate
Millard_Fillmore. Where was Commodore Matthew C. Perry sent to open Japan to Western trade?;Japan
Millard_Fillmore. Where was Commodore Matthew C. Perry sent to open Japan to Western trade?;Commodore Matthew C. Perry send to Japan
Millard_Fillmore. What is The Remarkable Millard Fillmore?;A fake biography based on real events that happened in Fillmore's life.
Millard_Fillmore. What is The Remarkable Millard Fillmore?;In 2007, George Pendle wrote The Remarkable Millard Fillmore, a fake biography based on real events that happened in Fillmore's life
Millard_Fillmore. Did Fillmore form a law partnership before or after he founded the private University of Buffalo?;Before.
Millard_Fillmore. Did Fillmore form a law partnership before or after he founded the private University of Buffalo?;Law partnership founded before University of Buffalo
Millard_Fillmore. Did Fillmore run for President a second time?;Yes
Millard_Fillmore. Did Fillmore run for President a second time?;I don't know (semantic ambiguity)
Millard_Fillmore. How long after the death of his first wife did Fillmore marry Caroline McIntosh?;where is the death date of his first wife?
Millard_Fillmore. Was Millard Fillmore the thirteenth President of the United States?;yes
Millard_Fillmore. Was Millard Fillmore the thirteenth President of the United States?;yes
Millard_Fillmore. Was Millard Fillmore the thirteenth President of the United States?;NULL
Millard_Fillmore. Was Millard Fillmore born on January 7, 1800?;yes
Millard_Fillmore. Was Millard Fillmore born on January 7, 1800?;yes
Millard_Fillmore. Was Millard Fillmore born on January 7, 1800?;NULL
Millard_Fillmore. Did Millard Fillmore die on March 8, 1974?;no
Millard_Fillmore. Did Millard Fillmore die on March 8, 1974?;no
Millard_Fillmore. Did Millard Fillmore die on March 8, 1974?;NULL
Millard_Fillmore. Where was Millard Fillmore born?;in a log cabin in Summerhill, New York
Millard_Fillmore. Where was Millard Fillmore born?;in a log cabin in Summerhill, New York
Millard_Fillmore. Where was Millard Fillmore born?;NULL
Millard_Fillmore. To whom was Millard Fillmore born to?;to Nathaniel and Phoebe Millard Fillmore
Millard_Fillmore. To whom was Millard Fillmore born to?;to Nathaniel and Phoebe Millard Fillmore
Millard_Fillmore. To whom was Millard Fillmore born to?;NULL
Millard_Fillmore. Who did Millard Fillmore fall in love with?;He fell in love with Abigail Powers
Millard_Fillmore. Who did Millard Fillmore fall in love with?;Abigail Powers
Millard_Fillmore. Who did Millard Fillmore fall in love with?;NULL
Millard_Fillmore. What did Taylor and Fillmore disagree upon?;slavory issues
Millard_Fillmore. What did Taylor and Fillmore disagree upon?;Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the Mexican-American War
Millard_Fillmore. What did Taylor and Fillmore disagree upon?;NULL
Millard_Fillmore. How did Fillmore ascend to the presidency?;upon the death of the sitting president, Taylor
Millard_Fillmore. How did Fillmore ascend to the presidency?;Official White House portrait of Millard FillmoreFillmore ascended to the presidency upon the sudden and unexpected death of President Taylor in July 1850.
Millard_Fillmore. How did Fillmore ascend to the presidency?;NULL
Millard_Fillmore. How did the supporters of Henry Clay feel about Fillmore in 1848?;they were ok with him
Millard_Fillmore. How did the supporters of Henry Clay feel about Fillmore in 1848?;angry
Millard_Fillmore. How did the supporters of Henry Clay feel about Fillmore in 1848?;NULL
Millard_Fillmore. Who was first apprenticed to a fuller to learn the cloth-making trade?;millard fillmore
Millard_Fillmore. He founded the private university of buffalo on what date?;1846
Millard_Fillmore. Who or what fell in love with abigail powers?;millard fillmore
Millard_Fillmore. Was Fillmore one of the founders of the University of Buffalo?;yes
Millard_Fillmore. Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?;yes
Millard_Fillmore. Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?;no
Millard_Fillmore. Is Fillmore the first of two presidents to have been an indentured servant ?;yes
Millard_Fillmore. Is the comic strip Mallard Fillmore named after the president ?;yes
Millard_Fillmore. Was Fillmore the first U.S. President born after the death of a former president ?;yes
Millard_Fillmore. Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?;no
Millard_Fillmore. What happened in a log cabin in summerhill , new york?;Fillmore was born
Nikola_Tesla. Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospi? , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?;Nikola Tesla
Nikola_Tesla. Are there at least two films describing Tesla 's life ?;Yes.
Nikola_Tesla. Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?;yes.
otter. Do sea otters have long muscular tails?;no
otter. Do sea otters have long muscular tails?;No
otter. Can otters survive in cold water?;yes
otter. Can otters survive in cold water?;Yes
otter. Does the giant otter inhabit South Africa?;no
otter. Does the giant otter inhabit South Africa?;No
otter. How many species of otter are there?;13
otter. How many species of otter are there?;13
otter. What do river otters eat?;a variety of fish and shellfish, as well as small land mammals and birds
otter. What do river otters eat?;a variety of fish and shellfish, as well as small land mammals and birds
otter. How much do sea otters weigh?;30 kg (about 65 pounds)
otter. How much do sea otters weigh?;30 kg (about 65 pounds)
otter. How do sea otters insulate themselves?;a layer of air trapped in their fur(!)
otter. How do sea otters insulate themselves?;As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths.
otter. Why are sea otters nearly extinct?;They've been hunted for their fur
otter. Why are sea otters nearly extinct?;Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them
otter. What is one of the challenges of re-establishing a population of Eurasian otters in the UK?;roadkill deaths
otter. What is one of the challenges of re-establishing a population of Eurasian otters in the UK?;Roadkill deaths have become one of the significant threats to the success of their re-establishment. 
otter. Is otter a kind of mammal?;yes
otter. Is otter a kind of mammal?;Yes.
otter. How many species and genera does otter have?;13 species and 7 genera
otter. How many species and genera does otter have?;13 species in 7 genera.
otter. Do otters live in water?;yes
otter. Do otters live in water?;Yes.
otter. What do river otters eat?;River otters eat a variety of fish and shellfish, as well as small land mammals and birds. 
otter. What do river otters eat?;River otters eat a variety of fish and shellfish, as well as small land mammals and birds.
otter. Where do sea otters live?;Sea otters (Enhydra lutris) live along the Pacific coast of North America. 
otter. Where do sea otters live?;The sea otter lives actually in the sea. 
"otter. Where does the word ""otter"" derive from?";"The word ""otter"" derives from the Old English word otr, otor or oter. "
"otter. Where does the word ""otter"" derive from?";"The word ""otter"" derives from the Old English word otr, otor or oter. This and cognate words in other Indo-European languages ultimately stem from a root which also gave rise to the English words ""water"", ""wet"" and ""winter"". "
otter. Does otter give birth or lay egg?;give birth
otter. What drives sea otter almost to extinction?;Humans hunted them almost to extinction. 
otter. What drives sea otter almost to extinction?;Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. 
otter. Why otters are considered as totem animals?;The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. 
otter. Do sea otters live along the Pacific coast?;Yes
otter. Do sea otters live along the Pacific coast?;Yes
otter. Are otters totem animals?;Yes
otter. Are otters herbivores?;No
otter. Are otters herbivores?;No
otter. What is the primary item in an otter's diet?;Fish.
otter. What is the primary item in an otter's diet?;fish
otter. What is an otter's den called?;Holt
otter. What is an otter's den called?;holt
otter. Why is the giant otter becoming increasingly rare?;Poaching, habitat loss, and toxins in gold mining.  
otter. Why is the giant otter becoming increasingly rare?;poaching, habitat loss, and the use of mercury in illegal alluvial gold mining
otter. How do otters keep themselves warm without blubber?;A layer of air trapped in their fur.  
otter. How do otters keep themselves warm without blubber?;a layer of air trapped in their fur
otter. How are otters playful animals?;The slide down snowy slopes, apparently for sheer enjoyment.  
otter. How are otters playful animals?;They slide repeatedly down snowy slopes for sheer enjoyment.
otter. What animals are related to otters?;weasels, polecats, and badgers
otter. What traps a layer of air, and keeps them dry and warm under water?;Long guard hair
otter. The collective noun romp is sometimes used for a group of what?;Otters
otter. Is it true that otters eat a variety of fish?;yes
otter. Are otters playful animals?;yes
otter. Are otters very active?;yes
otter. Are male otters dog-otters?;yes
otter. An otter 's den is what?;A holt
otter. Sea otters eat what?;Shellfish and other invertebrates
otter. Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?;yes
otter. Are Male otters dog-otters , females are bitches and babies are cubs or pups ?;yes
otter. Is an otter 's den called a holt ?;yes
otter. Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?;yes
penguin. Do penguins feed on krill?;yes
penguin. Do penguins feed on krill?;yes
penguin. What is the largest living species of penguin?;Emperor Penguin
penguin. What is the largest living species of penguin?;the Emperor Penguin (Aptenodytes forsteri)
penguin. Do penguins live almost exclusively in the Southern Hemisphere?;yes
penguin. Do penguins live almost exclusively in the Southern Hemisphere?;yes
"penguin. What is ""tobogganing""?";when penguins slide on their bellies across the snow
"penguin. What is ""tobogganing""?";Tobogganing is when penguins slide on their bellies across the snow.
penguin. Why are penguins countershaded?;for camouflage
penguin. Why are penguins countershaded?;for camouflage
